review_text,rating,label,source
Worst scam ever avoid this now!!! This LED desk lamp is incredible. This changed my life instantly and forever. This is the only review you need!!!,1.0,1,synthetic_suspicious_template
"Best purchase ever!!! This gaming headset is incredible. No details needed, just trust me and order it. I did not even try it long but it is perfect!!!",5.0,1,synthetic_suspicious_template
Debugs the Classroom. Very easy and convenient to use for keeping viruses and illness to a minimum This review was collected as part of a promotion,5.0,0,grammar_product_reviews
Çok etkileyici ve kalıcı bir kokusu var hepsiburada dan sipariş verdim 2 günde elime ulaştı kokusu çok güzel bu fiyata bu ürünü kaçırmayın derim kokusuna bayılacaksınız.,0.0,0,turkish_user_reviews
Unbelievable quality buy immediately!!! This vacuum cleaner is incredible. Everyone must buy this right now. Totally the best product online!!!,1.0,1,synthetic_suspicious_template
"Best purchase ever!!! This LED desk lamp is incredible. Terrible terrible terrible, do not ask questions. Use my recommendation and do not hesitate!!!",1.0,1,synthetic_suspicious_template
"Pumpkin Bread. This recipe is very good! I followed as is and it turned out excellent, and the smell while it&#39;s baking is even better! For those people that COMPLETELY change the recipe to suit their taste should NOT review the recipe!!! It is not a true review of the recipe! Make it AS IS then review!",5.0,0,recipe_reviews_zip
"Perfect product 100% recommended!!! This power bank is incredible. Terrible terrible terrible, do not ask questions. Totally the best product online!!!",1.0,1,synthetic_suspicious_template
"Unbelievable quality buy immediately!!! This wireless mouse is incredible. Terrible terrible terrible, do not ask questions. Totally the best product online!!!",5.0,1,synthetic_suspicious_template
"Soft. I wear headbands like this in the evening when washing my face and following my skincare routine. These headbands are very soft. I found these to be a little small, but they do stretch enough to accommodate my large head. I have just had other headbands that were a little larger and didn't require being stretched to the max just to fit. I like the variety of colors and have shared these with my eighteen year old daughter. One thing that I do like is that the bow doesn't get off centered as easily as my old one. My old one has to be adjusted every time I put it on. This one seems to be just fine.",4.0,0,amazon_reviews_2023:raw_review_All_Beauty
Excellent product. This is so very good for my hair,5.0,0,amazon_reviews_2023:raw_review_All_Beauty
"Creamy Grape Salad. Nasty. Doesn&#39;t taste good unless you put tons of brown sugar on it. Otherwise, it tastes likes grapes with mayonnaise. Gross. My friends hated it. What a waste of money",1.0,0,recipe_reviews_zip
"TRY THIS! test on FACE for match not hands, evens out skin tone, not for dry skin. I first tried it on the back of my hand and was horrified. The resulting color was orange pink. Then, only because I wanted to thoroughly & accurately test the product for reviewing, I decided to put it on half of my face. I expected to see orange skin like on my hand, but oddly, this just blended into my skin as a VERY CLOSE MATCH. So I put it on the rest, including under my eyes. Not bad. Glad I put it on my face.<br /><br />My skin is fair, pale, with cool undertones. What I think happened is that my hands were much cooler than my face. It is the heat of the skin that triggers the color change. It is winter, and I keep my house cool so naturally my hands were on the cool side. Skin of my face must have been just warm enough for this to work.<br /><br />That being said, the color match is impressive. It comes out in a grayish white cream, then bursts into color, then recedes to a dang close color match. On me, it was just a tiny bit darker & warmer than I would normally go for my ultra pale face. It covered well and did a nice job of evening out my skin tone (I have pink cheeks from ROSACEA- type 1 redness w/ visible veins). It didn't look weird. It goes on like a foundation, so plan to use a mirror to make sure that you are adequately covering your face.<br /><br />I think this is better for those that do not have dry skin. I have dry skin. Even with great products used underneath, I still thought this looked a little patchy on my skin in some spots. No pilling or balling though. Stayed in place for remainder of day. It could be my lack of skill in applying make up (this is an SPF, but it needs to be manipulated like a foundation).<br /><br />Overall, it isn't for me, but it does seem to be a quality product. I find it to be an interesting product and might be worth the try, especially if you want some natural coverage that will even out the skin. It does cover nicely. SPF48 P++<br /><br />""Apply when finishing skincare and starting base makeup""",4.0,0,amazon_reviews_2023:raw_review_All_Beauty
"bu parfümü hep duymuş ancak denemeye fırsat bulamamıştım.. fiyatı da uygun geldi, aldım.. unisex olması sebebiyle de oldukça ilginç.. kadın ve erkek de bu kadar hoş ve farklı durması daha da keyif verici ..tşkler",0.0,0,turkish_user_reviews
"Awesome foundation!. I am so glad they made a product like this because I can never seem to find the right color to match my skin and I end up with that Foundation the line on my chin with the two different colors. Not only is this product lightweight, it smells nice, plus it blends in with my skin tone almost perfectly. This is definitely going to be my go to Foundation.",5.0,0,amazon_reviews_2023:raw_review_All_Beauty
Simple Au Gratin Potatoes. Always a big hit in my house!,5.0,0,recipe_reviews_zip
"Perfect product 100% recommended!!! This vacuum cleaner is incredible. No details needed, just trust me and order it. I did not even try it long but it is perfect!!!",5.0,1,synthetic_suspicious_template
Broad Spectrum Spf20. Amazing how my skin looks after I used loreal triple power concentrate serum definitely this is the product I need I definitely recommend this. This review was collected as part of a promotion,5.0,0,grammar_product_reviews
Unbelievable quality buy immediately!!! This coffee machine is incredible. Five stars five stars five stars!!! Use my recommendation and do not hesitate!!!,5.0,1,synthetic_suspicious_template
Mom’s Meat Loaf. Excellent! I made this exactly per the recipe and will be making again for sure. Served oven crispy potatoes,5.0,0,recipe_reviews_zip
"Biz bu çay makinesini 3 seneden uzun bir süredir öğrenci evinde kullanıyoruz , bilenler bilir öğrenci evinde bu kadar uzun süre dayanan bir ürün gerçekten çok sağlamdır.Eğer uzun süreli kullanım arıyorsanız çeliklerden sasmayın.Yanlız bizim elimizdeki makine parlak çelik yeni seriler mat inox olarak piyasaya sürülmüş.Mat olması daha uygun olmuş daha az iz kalır diye düşünüyorum.Aklında çay makinesi olanlara ısrarla öneririm...",0.0,0,turkish_user_reviews
Great Product. Love these wipes can't go without them they really helps keep down germs I love Clorox. This review was collected as part of a promotion,5.0,0,grammar_product_reviews
Absolutely amazing!!! This vacuum cleaner is incredible. Everyone must buy this right now. Totally the best product online!!!,5.0,1,synthetic_suspicious_template
Unbelievable quality buy immediately!!! This kitchen blender is incredible. This changed my life instantly and forever. Totally the best product online!!!,1.0,1,synthetic_suspicious_template
Great. Movie was entertaining so much better than the original,5.0,0,grammar_product_reviews
Unbelievable quality buy immediately!!! This kitchen blender is incredible. Everyone must buy this right now. I did not even try it long but it is perfect!!!,1.0,1,synthetic_suspicious_template
Perfect product 100% recommended!!! This wireless mouse is incredible. This changed my life instantly and forever. Use my recommendation and do not hesitate!!!,1.0,1,synthetic_suspicious_template
In Love. I love Clorox! I use it everyday to clean my house. I would definitely recommend to other people I know! This review was collected as part of a promotion,5.0,0,grammar_product_reviews
Absolutely amazing!!! This kitchen blender is incredible. Five stars five stars five stars!!! Buy now and thank me later!!!,1.0,1,synthetic_suspicious_template
Worst scam ever avoid this now!!! This gaming headset is incredible. This changed my life instantly and forever. Use my recommendation and do not hesitate!!!,5.0,1,synthetic_suspicious_template
Absolutely amazing!!! This coffee machine is incredible. This changed my life instantly and forever. I did not even try it long but it is perfect!!!,1.0,1,synthetic_suspicious_template
ürün fiyatina göre gercekten çok iyi.batarya süresı güzel.ilk başta endişe etmiştim simdi 2.almayı düşünüyorum.herkese tavsiye ederim,0.0,0,turkish_user_reviews
Perfect product 100% recommended!!! This vacuum cleaner is incredible. This changed my life instantly and forever. This is the only review you need!!!,1.0,1,synthetic_suspicious_template
Five Stars. My daughter loves the foot pedicure unit.,5.0,0,amazon_reviews_2023:raw_review_All_Beauty
"Worst scam ever avoid this now!!! This phone case is incredible. No details needed, just trust me and order it. Buy now and thank me later!!!",5.0,1,synthetic_suspicious_template
"Quick Cream of Mushroom Soup. I was looking for a cream soup to use in casseroles and stumbled upon this. I just made it an it&#39;s quick and delicious! I followed the recipe exactly, except I only had canned mushrooms in the house, and yes, I used those. It&#39;s still really good and beats the heck out of canned soups with canola oil and GMO&#39;s in them. I blended it with my immersion blender at the end to make the mushrooms smaller. I did this for use in casseroles and the consistency is great. Next time I might add another tablespoon or 2 of flour to make it thicker, or reduce the liquid. Make sure you wisk the flour into the stock really well before adding it to pot, and boil for a full 2-3 minutes to cook out the flour taste. I will definitely be using this recipe in the future, and next time I will get fresh mushrooms. Looks like enough for 3 casseroles, so I will freeze the rest. Thanks!",5.0,0,recipe_reviews_zip
Ürün çok güzel. Beklediğim gibi. buradaki olumsuz yorumlara katılmıyorum. hepsiburada ya teşekkürler. Ancak şu ARAS KARGO İLE olan anlaşmasını sonlandırsa çok daha iyi olacak. kargodan memnun değilim.,0.0,0,turkish_user_reviews
Perfect product 100% recommended!!! This gaming headset is incredible. This changed my life instantly and forever. Use my recommendation and do not hesitate!!!,5.0,1,synthetic_suspicious_template
Absolutely amazing!!! This LED desk lamp is incredible. This changed my life instantly and forever. Use my recommendation and do not hesitate!!!,5.0,1,synthetic_suspicious_template
